la_code,name,UTLA,UTLA_name,DOM_abuse,DOM_dys,DOM_context,ACE_mean_rank,ACE_rank
E09000002,Barking and Dagenham,E09000002,Barking and Dagenham,0.635,1.356,-0.423,212.33,231
E09000003,Barnet,E09000003,Barnet,-0.856,0.044,-0.445,88,65
E08000016,Barnsley,E08000016,Barnsley,0.616,0.705,-0.044,240.67,255.5
E06000022,Bath and North East Somerset,E06000022,Bath and North East Somerset,-0.334,0.265,-0.219,153.33,155
E06000055,Bedford,E06000055,Bedford,0.232,0.102,-0.208,186,191
E09000004,Bexley,E09000004,Bexley,-0.215,0.207,-0.391,141,137
E08000025,Birmingham,E08000025,Birmingham,0.226,0.566,-0.157,209.67,228
E06000008,Blackburn with Darwen,E06000008,Blackburn with Darwen,1.058,0.606,-0.03,250,269
E06000009,Blackpool,E06000009,Blackpool,1.907,1.779,1.253,321.67,323
E08000001,Bolton,E08000001,Bolton,0.398,-0.306,0.217,204.33,223
E06000028,Bournemouth,E06000028,Bournemouth,0.232,0.815,0.658,275,298
E06000036,Bracknell Forest,E06000036,Bracknell Forest,-0.181,0.092,-0.419,135.33,130
E08000032,Bradford,E08000032,Bradford,0.358,-0.185,0.008,193.33,203
E09000005,Brent,E09000005,Brent,-0.259,0.374,0.1,197.33,215
E06000043,Brighton and Hove,E06000043,Brighton and Hove,1.115,0.731,1.037,300.33,316
E06000023,"Bristol, City of",E06000023,"Bristol, City of",0.62,0.311,0.384,257.33,279.5
E09000006,Bromley,E09000006,Bromley,-0.435,0.016,-0.472,106,86
E07000004,Aylesbury Vale,E10000002,Buckinghamshire,-0.221,-0.359,-0.562,90.67,67
E07000005,Chiltern,E10000002,Buckinghamshire,-0.685,-0.698,-0.71,36.67,14
E07000006,South Bucks,E10000002,Buckinghamshire,-0.494,-0.541,-0.397,75.33,53
E07000007,Wycombe,E10000002,Buckinghamshire,-0.326,-0.395,-0.5,87,62
E08000002,Bury,E08000002,Bury,0.584,0.204,-0.043,217.67,235
E08000033,Calderdale,E08000033,Calderdale,0.695,0.661,0.178,261.67,284
E07000008,Cambridge,E10000003,Cambridgeshire,-0.193,-0.741,0.121,141.33,138
E07000009,East Cambridgeshire,E10000003,Cambridgeshire,-0.852,-1.101,-0.905,14.33,2
E07000010,Fenland,E10000003,Cambridgeshire,-0.204,-0.605,0.036,136.67,135
E07000011,Huntingdonshire,E10000003,Cambridgeshire,-0.654,-0.917,-0.549,37,15
